모델,RMSE,MAE,R2,RMSE_개선율(%),MAE_개선율(%)
기준선(평균값),195256.84,158505.53,-0.004901,0.0,0.0
선형회귀,88476.61,65158.42,0.7937,54.7,58.9
랜덤포레스트,81471.51,58175.76,0.825,58.3,63.3
XGBoost,82573.53,59382.47,0.8203,57.7,62.5
